Participant Private ID,UTC Date and Time,Experiment Version,Participant Device,Participant Browser,randomiser-evbs,attention_start,attention_start object-14 Quantised,consent1,consent2,consent3,consent4,recontact,recontact object-19 Quantised,age_month,age_year,gender,gender_other,worksit,worksit_other,education,education_other,ideology,partisanship,partisanship_other,conservative_rating,labour_rating,libdem_rating,green_rating,reform_rating,crt1,crt2,crt3,o_immigration,o_climate,o_punishment,o_teaculture,o_brain,attention_check,o_discrimination,o_cats,o_selfenhancement,o_adoption,o_gender,dog01,dog02,dog03,dog04,dog05,dog06,dog07,dog08,dog09,dog10,dog11,attention_end,age_corrected
11694653,12/09/2024 11:26:54,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,11,30,male,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Slightly left,Liberal Democrat,,20,55,80,75,30,4,10,39,Neutral,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Yes,30
11694655,12/09/2024 11:27:05,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,0,21,male,,At university,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Reform UK,,19,34,47,62,83,4,50,20,Disagree,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Yes,21
11694656,12/09/2024 11:27:06,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,10,26,male,,Unemployed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,38,91,58,73,47,8,50,23,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neutral,Yes,26
11694657,12/09/2024 11:27:18,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,9,24,male,,Employed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Left,Liberal Democrat,,16,32,90,96,0,4,10,39,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Yes,24
11694659,12/09/2024 11:27:39,38,Desktop or Laptop,Firefox 130.0,Start P,Yes,1,1,1,1,1,Yes,1,1,30,male,,Employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly left,Labour,,30,60,40,60,30,8,10,39,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Neutral,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Yes,30
11694661,12/09/2024 11:27:46,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,11,36,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Right,Conservative,,43,2,31,65,83,4,10,39,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Yes,36
11694663,12/09/2024 11:28:01,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,10,20,female,,At university,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Green,,8,44,53,72,0,8,50,20,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Yes,20
11694672,12/09/2024 11:29:30,38,Desktop or Laptop,Chrome 114.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,0,31,female,,Self-employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,1,50,45,45,35,4,10,39,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Yes,31
11694674,12/09/2024 11:29:35,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,6,31,male,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Slightly left,Labour,,10,74,61,54,0,4,10,39,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Yes,31
11694675,12/09/2024 11:29:43,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,11,36,male,,Self-employed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Left,Labour,,1,91,18,70,0,8,50,20,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Yes,36
11694676,12/09/2024 11:29:49,38,Desktop or Laptop,Chrome 127.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,11,25,male,,Employed,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Left,Labour,,5,70,60,50,0,4,10,39,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Neutral,Yes,25
11694678,12/09/2024 11:29:54,38,Desktop or Laptop,Edge 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,9,33,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Moderate,__other,none,9,32,25,29,67,8,50,20,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Yes,33
11694679,12/09/2024 11:29:52,38,Desktop or Laptop,Chrome 128.0.0.0,Start M,Yes,1,1,1,1,1,Yes,1,6,32,male,,Unemployed,,"Higher secondary or further education (A-levels, T-levels, BTEC, International Baccalaureate or equivalent)",,Slightly right,Reform UK,,30,30,15,5,70,8,10,20,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Neutral,Yes,32
11694681,12/09/2024 11:30:28,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,No,2,0,29,male,,At university,,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",,Left,Labour,,10,75,72,65,0,4,10,39,Disagree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Yes,29
11694682,12/09/2024 11:30:23,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,8,31,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Left,Labour,,0,71,27,70,0,8,50,20,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,Neutral,Neutral,Yes,31
11694685,12/09/2024 11:30:45,38,Desktop or Laptop,Chrome 128.0.0.0,Start P,Yes,1,1,1,1,1,Yes,1,5,23,female,,Employed,,"Bachelors degree (BA, BSc., BEd., BEng.)",,Slightly right,__other,SDLP,26,27,66,14,68,4,10,39,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Yes,23
